"gene_symbol","t"
"CIART",-0.932008681593375
"PRNP",-0.932138980673036
"UNKL",-0.93244641168813
"TAFA5",-0.9329852963806
"FOXJ3",-0.933353108767375
"XPC-AS1",-0.935378095218908
"FOSB",-0.936247969864494
"WDTC1",-0.936721131210535
"GRWD1",-0.9370960680308
"SPATS2",-0.937663531875318
"LINC02254",-0.938306340376541
"MED9",-0.93876858537235
"GIPC2",-0.938828606674536
"TMEM14B",-0.939143345386827
"RPS7",-0.941186131244277
"SERINC2",-0.941884525461751
"TACC3",-0.941926138134864
"SPACA6",-0.942237884106039
"ATG9B",-0.943252064404421
"DNAJA3",-0.943414279246393
"DACH1",-0.943626395964842
"DAB1",-0.944064356849024
"CRYBG1",-0.944146211399377
"GRK6",-0.945037290350654
"TLR3",-0.945095707242888
"TSPEAR-AS1",-0.94562000175904
"C6orf47",-0.94657532941453
"SPATC1L",-0.94749382358505
"HEPACAM",-0.948696163425153
"CKS2",-0.949959957107402
"FAM184B",-0.950228360505019
"FAM228A",-0.951511956362084
"SNORD142",-0.952627118940803
"LOC107987238",-0.954436064760822
"HMG20A",-0.955785609539702
"LOC112268235",-0.956009849461844
"TUBB3",-0.956074139691055
"NDFIP1",-0.956316235104537
"MRAP",-0.956873449311465
"YTHDF1",-0.956958074910326
"NPHP4",-0.958715921386146
"MTMR8",-0.958944046939911
"CCDC158",-0.959364836833008
"LOC107985034",-0.959616591605664
"OGT",-0.959807362231467
"NEURL4",-0.960097535178913
"MASP2",-0.960595629854514
"SLC39A3",-0.961710536479751
"LOC112268444",-0.964051965397797
"STIP1",-0.964303804412434
"NARF",-0.965614662380719
"CIAO2B",-0.965853604584022
"FKBP4",-0.966388346581318
"PPP6R2",-0.966639288334813
"SNORA26",-0.967126644419042
"CRBN",-0.967749525423706
"ZNF747-DT",-0.968549163395053
"ATG4D",-0.969919149358862
"WDR62",-0.970042737688714
"TIE1",-0.970606463910227
"MIR1307",-0.970755942821071
"MAK16",-0.971979721424477
"EXOSC8",-0.97218354859805
"GCH1",-0.972527295345107
"LOC107987244",-0.972678603429586
"HSP90B1",-0.972969314646598
"HSBP1",-0.973191699727171
"PSMA1",-0.974026581495296
"LOC107984220",-0.974569644598242
"MIR3655",-0.974943146973084
"ZNF787",-0.975094650414982
"ATMIN",-0.975518011585429
"NOM1",-0.977425666332816
"ERBB3",-0.978579425071769
"BTN2A1",-0.978672728072872
"LYZ",-0.978851978051159
"JMJD1C",-0.980852874114854
"TMEM150B",-0.981757219993182
"H1-9P",-0.981784942173124
"ANKRD20A1",-0.982421986262852
"CEACAM1",-0.983230609787286
"BAG1",-0.983290542184922
"MRPL35",-0.98336857962518
"CLUHP3",-0.983812700674543
"RAB2B",-0.984555395429324
"SNHG6",-0.984979983753739
"MYRIP",-0.986703675518073
"DIXDC1",-0.986914963560393
"EHD1",-0.986971083863856
"DENND10",-0.987322293661996
"LRP2BP-AS1",-0.988041794783836
"CASP8",-0.988055663815547
"NCL",-0.988864058293878
"DHX30",-0.989118559898687
"AGMAT",-0.989377617235412
"VPS9D1-AS1",-0.989627498715016
"MAD2L1BP",-0.989770361931951
"ERV3-1",-0.989774262445688
"SNORD83B",-0.990636606791775
"ZNF879",-0.991608583504857
"KLHL5",-0.991690790070077
"ACSS1",-0.993521458785701
"SUSD6",-0.994380028992341
